2024-03-17 18:31:46, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:51, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:56, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:01, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:06, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:11, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:16, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:22, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:27, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:32, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:37, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:42, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:47, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:52, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:32:57, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:02, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:07, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:12, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:17, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:22, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:27, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:32, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:38, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:43, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:48, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:53, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:33:58, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:03, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:08, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:13, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:18, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:23, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:28, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:33, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:38, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:43, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:48, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:53, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:34:59, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:04, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:09, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:14, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:19, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:24, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:29, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:34, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:39, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:44, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:49, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:54, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:35:59, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:04, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:09, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:14, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:20, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:25, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:30, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:35, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:40, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:45, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:50, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:36:55, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:00, GPU Temperature: 56°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:05, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:10, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:15, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:20, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:25, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:30, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:35, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:41, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:46, GPU Temperature: 56°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:51, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:37:56, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:01, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:06, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:11, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:16, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:21, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:26, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:31, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:36, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:41, GPU Temperature: 56°C, nvlddmkm.sys: Not Present
